date,instrument,val_zb1_sym1,val_gc1_sym2,val_dxy_sym3,val_raw_label,val_final_verdict,bbsb_bench_zb,bbsb_bench_gc,bbsb_bench_dxy,bbsb_rel_zb,bbsb_rel_gc,bbsb_rel_dxy,bbsb_selfz,bbsb_verdict_gate,bbsb_verdict_bench,bbsb_verdict_rel,bbsb_tb_bench,bbsb_tb_rel,bbsb_flip,seas_bar0,seas_bar5,seas_bar10,seas_verdict,cot_comm_net,cot_index,cot_noncomm_net,cot_specs_net,cot_verdict,w_bias,macro_status,gated
2026-08-02,EURUSD,79.70618,-59.66224,40.80771,NEUTRAL,NEUTRAL,-0.4021,-0.02751,0.27632,-0.23554,-0.61013,-0.91396,-0.63764,0,0,0,0,0,0,1.15,1.15,1.14,NEUTRAL,51.71K,100.0,-72.45K,20.73K,VETO (partial bull div opposes bear bias),BEARISH,SKIP,1
2026-08-02,GBPUSD,37.56358,-61.71548,10.86349,NEUTRAL,NEUTRAL,-0.4021,-0.02751,0.27632,-0.46761,-0.84219,-1.14603,-0.86971,0,0,0,0,0,0,1.35,1.33,1.33,"NEUTRAL (bear dir, ranging bias)",72.81K,56.5,-64.81K,-8K,NEUTRAL (no extreme),RANGING,WEAK,0
2026-08-02,AUDUSD,59.69548,-61.98658,13.71123,NEUTRAL,NEUTRAL,-0.4021,-0.02751,0.27632,-0.84275,-1.21733,-1.52117,-1.24485,0,0,0,0,0,0,0.7,0.7,0.69,NEUTRAL,23.5K,100.0,-39.96K,16.46K,ALIGNED (partial bull div),BULLISH,WEAK,0
2026-08-02,USDJPY,-88.813,-73.748,-85.528,NEUTRAL,NEUTRAL,-0.402,-0.028,0.276,-0.784,-1.159,-1.463,-1.186,0,0,0,0,0,1,157.65,158.1,158.19,"NEUTRAL (bull dir, ranging bias)",158.03K,100.0,-163.41K,5.39K,"BEARISH (inverted, partial div)",RANGING,WEAK,0
2026-08-02,GBPJPY,-56.918,-81.487,-84.52,NEUTRAL,NEUTRAL,-0.402,-0.028,0.276,-2.456,-2.831,-3.134,-2.858,0,0,0,0,0,0,212.68,211.02,210.24,"NEUTRAL (bear dir, ranging bias)",GBP +72.81K / JPY +158.03K,56.5 / 100,-64.81K / -163.41K,-8K / +5.39K,BEARISH (JPY leg extreme),RANGING,WEAK,0
2026-08-02,EURGBP,58.65736,-53.03455,83.33565,NEUTRAL,NEUTRAL,-0.4021,-0.02751,0.27632,0.21311,-0.16148,-0.46531,-0.18899,0,0,0,0,0,0,0.86,0.86,0.87,NEUTRAL (mild up-lean),EUR +51.71K / GBP +72.81K,100 / 56.5,-72.45K / -64.81K,+20.73K / -8K,"VETO (EUR leg bullish, opposes)",BEARISH,SKIP,1
2026-08-02,XAUUSD,44.08,-88.08,35.23,NEUTRAL,NEUTRAL,-0.37,-0.01,0.23,-0.28,-0.64,-0.89,-0.65,0,0,0,0,0,0,4046.34,4054.05,4042.43,NEUTRAL,-212.31K,27.31,182.07K,30.24K,"NEUTRAL (Comm Net shrinking, dir-only rule)",BEARISH,WEAK,0
2026-08-02,US30,7.4,-79.6,5.3,NEUTRAL,NEUTRAL,-0.4,-0.0,0.3,-0.0,-0.4,-0.7,-0.4,0,0,0,0,0,0,52452,52031.27,52145.29,OPPOSING,-22.7K,0.0,16.34K,6.36K,VETO (FULL bearish divergence),BULLISH,SKIP,1
2026-08-02,NAS100,-16.0,-77.7,-27.1,NEUTRAL,NEUTRAL,-0.4,-0.0,0.3,-1.9,-2.3,-2.6,-2.3,0,0,0,0,0,0,28193,28038.34,28030.72,ALIGNED (bearish),-14.95K,36.47,4.91K,10.03K,"NEUTRAL (carve-out: no extreme, no flip)",BEARISH,WEAK,0
2026-08-02,US500,-7.6,-79.0,-17.9,NEUTRAL,NEUTRAL,-0.4,-0.0,0.3,-1.5,-1.9,-2.2,-1.9,0,0,0,0,0,0,7480.8,7445.41,7458.22,"NEUTRAL (bear dir, ranging bias)",-95.93K,5.06,-17.2K,113.13K,"BEARISH lean (partial div, no gate vs RANGING)",RANGING,WEAK,0
2026-08-02,GER40,59.7,-32.8,39.5,NEUTRAL,NEUTRAL,-0.3,0.1,0.2,0.7,0.3,0.2,0.4,0,0,0,0,0,0,25733.9,25690.53,25640.53,OPPOSING,,,,,UNAVAILABLE (Eurex),BULLISH,WEAK,0
